GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin
1,134,1,0.09,2.14807948675221,31.6276969909668,5.02342510223389,23
1,134,1,0.09,0.488199883352775,-77.1715850830078,3.24030637741089,6
2,134,2,0.282,1.36695967338777,-21.5068340301514,4.25823402404785,15
2,134,2,0.282,0.683479836693884,-56.9298553466797,4.22931973139445,8
2,134,2,0.282,2.73391934677554,64.5205001831055,3.7811926205953,29
4,134,4,0.666,1.65987960339943,51.8694229125977,3.12874547640483,18
5,134,5,0.858,2.53863939343443,-32.8928070068359,4.16541544596354,27
6,134,6,1.05,0.39055990668222,-70.8460464477539,3.52972054481506,5
7,134,7,1.242,1.85515955674054,78.4366912841797,3.14985219637553,20
7,134,7,1.242,2.24571946342276,58.1949653625488,3.09200008710225,24
9,134,9,1.626,2.24571946342276,-45.5438842773438,4.89434083302816,24
9,134,9,1.626,0.585839860023329,61.9902877807617,3.59375437100728,7
10,134,10,1.818,0.585839860023329,21.5068340301514,20.8737297058105,7
10,134,10,1.818,2.63627937010498,73.3762588500977,3.81366523106893,28
10,134,10,1.818,1.65987960339943,-64.5205001831055,3.62964447339376,18
11,134,11,2.01,0.683479836693884,-53.1345329284668,28.7830657958984,8
11,134,11,2.01,2.44099941676387,-30.3625888824463,3.28437964121501,26
12,134,12,2.202,0.878759790034994,-21.5068340301514,34.9142303466797,10
12,134,12,2.202,1.9527995334111,-20.2417259216309,7.70485019683838,21
13,134,13,2.394,0.976399766705549,21.5068340301514,36.7191505432129,11
13,134,13,2.394,2.63627937010498,-45.5438842773438,4.55595922470093,28
14,134,14,2.586,1.0740397433761,51.8694229125977,39.2951164245605,12
15,134,15,2.778,1.17167972004666,61.9902877807617,32.4694213867188,13
16,134,16,2.97,1.26931969671721,72.1111526489258,34.2453816731771,14
17,135,1,3.59,1.36695967338777,-80.9669036865234,31.5551999409993,15
17,135,1,3.59,0.39055990668222,-79.7017974853516,7.13793834050496,5
18,135,2,3.782,1.46459965005832,-77.1715850830078,32.5966466267904,16
18,135,2,3.782,0.39055990668222,-75.9064712524414,6.76925055185954,5
19,135,3,3.974,1.46459965005832,-74.6413650512695,31.4182548522949,16
19,135,3,3.974,0.585839860023329,-74.6413650512695,5.71876621246338,7
20,135,4,4.166,1.56223962672888,-70.8460464477539,28.0511093139648,17
20,135,4,4.166,0.683479836693884,-68.3158264160156,3.8652249177297,8
21,135,5,4.358,1.65987960339943,-67.0507202148438,22.0671710968018,18
21,135,5,4.358,0.683479836693884,41.7485618591309,4.89219506581624,8
22,135,6,4.55,1.75751958006999,-65.7856140136719,21.8022276560466,19
23,135,7,4.742,2.05043951008165,-65.7856140136719,12.9015153249105,22
24,135,8,4.934,2.14807948675221,-64.5205001831055,11.8132699330648,23
24,135,8,4.934,0.878759790034994,-50.6043167114258,3.08637364705404,10
25,135,9,5.126,2.24571946342276,-67.0507202148438,20.4726003011068,24
25,135,9,5.126,0.585839860023329,61.9902877807617,3.97583921750387,7
26,135,10,5.318,2.24571946342276,78.4366912841797,18.5559387207031,24
26,135,10,5.318,1.26931969671721,78.4366912841797,4.54737758636475,14
27,135,11,5.51,2.34335944009332,75.9064712524414,18.4770806630452,25
27,135,11,5.51,1.0740397433761,74.6413650512695,3.86223824818929,12
28,135,12,5.702,2.44099941676387,-59.4600715637207,23.3229312896729,26
29,135,13,5.894,2.53863939343443,-60.7251777648926,26.6594511667887,27
29,135,13,5.894,1.46459965005832,-58.1949653625488,5.03448263804118,16
29,135,13,5.894,0.781119813364439,32.8928070068359,3.51887424786886,9
30,135,14,6.086,2.63627937010498,-63.2553939819336,25.1635615030924,28
30,135,14,6.086,1.65987960339943,-59.4600715637207,5.19970862070719,18
31,135,15,6.278,2.73391934677554,-60.7251777648926,17.0851682027181,29
31,135,15,6.278,1.65987960339943,-22.7719421386719,3.10848848025004,18
31,135,15,6.278,0.878759790034994,-44.2787780761719,3.00385117530823,10
32,135,16,6.47,2.73391934677554,-69.5809326171875,22.1577402750651,29
32,135,16,6.47,1.0740397433761,-46.8089942932129,3.43741901715597,12
