GlobalWindow,PhysicalFrame,WindowInFrame,Time_ms,Range_m,AliasedVelocity_mps,RelativeStrength_dB,RangeBin,FittedRange_m,FitResidual_m,ExpectedAliasedVelocity_mps,CircularVelocityResidual_mps,AmbiguityNumber,UnwrappedVelocity_mps,MeasuredSpeed_mps,MeasuredSpeedResidual_mps,DistanceFitSpeedResidual_mps,GlobalUnwrapPathCost,RangeVelocityCouplingMagnitude_m,CorrectedRange_m
9,178,9,1.626,1.17167972004666,45.5438842773438,43.1451301574707,13,1.10160558879447,0.0700741312521886,-74.3201486465266,42.0697791048116,2,369.411508334708,432.09819,-62.6866816652924,-42.0697791048116,33.2440771447571,0.475181219339127,1.17167972004666
10,178,10,1.818,0.976399766705549,63.2553939819336,50.9407450358073,11,1.18060999598286,-0.204210229277309,-74.3201486465266,24.3582694002217,2,387.123018039297,432.09819,-44.9751719607025,-24.3582694002217,33.2440771447571,0.497963879293885,0.976399766705549
11,178,11,2.01,0.878759790034994,72.1111526489258,45.5062573750814,10,1.25961440317125,-0.380854613136251,-74.3201486465266,15.5025107332295,2,395.97877670629,432.09819,-36.1194132937104,-15.5025107332295,33.2440771447571,0.509355214178183,0.878759790034994
12,178,12,2.202,1.65987960339943,-78.4366912841797,37.6347783406576,18,1.33861881035963,0.3212607930398,-74.3201486465266,4.11654263765308,3,407.364744801866,432.09819,-24.7334451981339,-4.11654263765308,33.2440771447571,0.524001206739168,1.65987960339943
13,178,13,2.394,1.56223962672888,-70.8460464477539,40.4436772664388,17,1.41762321754802,0.144616409180858,-74.3201486465266,3.4741021987727,3,414.955389638292,432.09819,-17.1428003617081,3.4741021987727,33.2440771447571,0.533765201058682,1.56223962672888
14,178,14,2.586,1.36695967338777,-63.2553939819336,37.16033299764,15,1.49662762473641,-0.12966795134864,-74.3201486465266,11.064754664593,3,422.546042104112,432.09819,-9.5521478958878,11.064754664593,33.2440771447571,0.543529205192034,1.36695967338777
15,178,15,2.778,1.26931969671721,-61.9902877807617,37.5419858296712,14,1.5756320319248,-0.306312335207583,-74.3201486465266,12.3298608657649,3,423.811148305284,432.09819,-8.28704169471592,12.3298608657649,33.2440771447571,0.54515653594298,1.26931969671721
16,178,16,2.97,1.9527995334111,-61.9902877807617,38.125244140625,21,1.65463643911318,0.298163094297914,-74.3201486465266,12.3298608657649,3,423.811148305284,432.09819,-8.28704169471592,12.3298608657649,33.2440771447571,0.54515653594298,1.9527995334111
17,179,1,3.59,1.9527995334111,-60.7251777648926,35.8775329589844,21,1.90975483732569,0.0430446960854123,-74.3201486465266,13.594970881634,3,425.076258321153,432.09819,-7.02193167884678,13.594970881634,33.2440771447571,0.546783871600845,1.9527995334111
18,179,2,3.782,1.85515955674054,-63.2553939819336,29.4930896759033,20,1.98875924451407,-0.13359968777353,-74.3201486465266,11.064754664593,3,422.546042104112,432.09819,-9.5521478958878,11.064754664593,33.2440771447571,0.543529205192034,1.85515955674054
